TF	Log10Events	MDS_difference	p-value
ZN214_0	2.7671558660821804	0.022622937354307177	0.184862532789
TBX15_0	3.85618492672717	-0.0074454525946437405	0.185982882361
BARH2_0	2.745074791582057	-0.01652421003863056	0.18622906732
RFX3_0	2.4232458739368075	-0.04111369367721923	0.186230879401
CEBPE_0	2.442479769064448	0.029699152399320285	0.187251478575
NFKB2_0	2.725503268859315	0.024665844932661635	0.188555313105
NFAT5_0	3.689974444666774	0.00801534199186603	0.189009572272
FOXA2_0	2.899546931090867	-0.01764702483278234	0.190644863434
MLXPL_0	2.021189299069938	-0.055561996819719586	0.19066882454
EGR4_0	3.334152052992286	-0.016614181057752836	0.190975493731
TAL1_1	3.001733712809	-0.0185824345975468	0.191941370772
KLF8_0	3.2611438677006666	0.015411479289841963	0.192215748625
ERR1_0	2.962606072924127	-0.016144713687308562	0.192888918226
XBP1_0	2.0374264979406234	-0.0765997781162443	0.193544487858
FOXD2_0	2.9198622535555376	0.012172400799147201	0.194446478053
ZN554_1	3.048053173115609	0.020210037737999648	0.196948942845
PO3F3_0	3.50589578121975	-0.005462981828743234	0.197336942429
GATA1_0	2.849419413796899	-0.02733021028568547	0.198083445726
HXD11_0	3.51936852704	0.007289651818124883	0.200424776237
TEAD3_0	2.9527924430440917	-0.01745391498182486	0.201141897504
HXC12_0	2.9135489579065177	0.013952368804485861	0.201261706562
E2F1_0	2.9138138523837163	-0.025709577636643804	0.201519656193
E2F3_0	2.589391023136933	-0.03374739864969156	0.202023602465
KAISO_2	2.6507930396519304	0.03356892828492644	0.203563109885
ETV3_0	2.5308397786165204	-0.02929104981791604	0.204544972022
MXI1_0	2.6857417386022635	0.03150191517352341	0.205112971544
KLF16_0	3.7900387358360303	-0.00825588859350698	0.206088401519
NFAC4_0	3.193541988566217	0.010618820441600759	0.209237693118
GSX1_0	2.9201233262907236	0.012639273041826432	0.209443934364
JDP2_0	1.8061799739838869	0.08942386938030733	0.209522779886
NANOG_1	2.8068580295188172	0.020000437159628556	0.210359729949
SOX21_0	2.40226138245468	0.02506694333586821	0.213491100991
BARX1_0	2.9397687754533495	0.01335885858261822	0.213656100829
AHR_0	2.1398790864012365	0.05353248949431888	0.215911271002
TBP_0	2.761927838420529	-0.016987567649364307	0.217112187571
FOXP2_0	3.1744959193752993	0.015088894885381886	0.217215517191
ZN322_0	2.755493728415119	0.01993213351457815	0.217261553364
ZN274_0	2.191730393362856	-0.053839729765644745	0.218128279446
E2F4_0	3.117933835039641	-0.0206462876557241	0.219425587773
HXD13_0	2.829303772831025	0.014549820128826546	0.220298112252
SHOX_0	3.173623257698081	-0.007617953467480348	0.220375380242
DMBX1_0	3.066325925362037	0.0075528820473210485	0.221675863672
ONEC3_0	3.0809870469108867	0.011859434801444345	0.222761711688
TAL1_0	2.697665162647674	-0.03307157947621789	0.224900040129
ZN418_0	2.849112166184577	0.02583216387355944	0.224981824094
NFAC1_1	3.257198426139344	-0.011197616665055933	0.225480871197
TGIF1_0	3.5624713049774686	0.008678823749062455	0.226189909476
HOMEZ_0	2.1398790864012365	-0.029701889670357848	0.226453057685
PTF1A_0	3.105169427999331	-0.017863202253627336	0.232336362843
VENTX_0	2.6959192528313998	0.017585011137623764	0.233653739843
NANOG_0	2.6794278966121188	0.017935578105324965	0.235734450609
OLIG3_0	2.4393326938302624	-0.022240341458939362	0.2362492794
SOX15_0	4.047294342036405	0.004771355002109153	0.236377073359
PRGR_1	3.2030328870147105	-0.012188741575659563	0.236544130315
